hgnc	prior_mean	post_mean	post_lower_95	post_upper_95
HGNC:3005	0.5209892258415255	0.5503813267665019	0.3046953437562438	0.8411587729270731
HGNC:19285	0.5020964812720247	0.2664423392799044	0.14085921268731272	0.42557444045954057
HGNC:25565	0.5912996639357716	0.5470901350559209	0.37662340129870137	0.7442556954045955
HGNC:3697	0.4826910477347312	0.25160977516478333	0.11888119510489513	0.42557444045954057
HGNC:4883	0.5838074681275371	0.2223575475797507	0.13486520789210793	0.328671362937063
HGNC:4008	0.5066587033011773	0.6109955692601718	0.3806194044955046	0.8741257993006994
HGNC:4311	0.4982598482379958	0.2539215682243206	0.1338662070929071	0.4055944244755246
HGNC:7804	0.49081381093525495	0.30357618601754055	0.14485521588411593	0.5104895083916084
HGNC:28070	0.4999558716305003	0.7799354079684689	0.5404595323676324	0.9700298760239762
HGNC:25233	0.503120515592164	0.5380856095375492	0.308691346953047	0.8101897481518483
HGNC:3359	0.4880448037702997	0.35774088964537387	0.1438562150849151	0.6483516186813187
HGNC:10728	0.5338408713458878	0.12723436680825057	0.05594414475524477	0.22277727822177826
HGNC:1884	0.5538944344548156	0.9412813591692131	0.8451547761238762	0.9950048960039961
HGNC:22215	0.5059870541751692	0.12245578166665685	0.05394614315684317	0.2127872702297703
HGNC:2649	0.5149138400790368	0.6632679167030764	0.42357643886113894	0.9140858312687314
HGNC:1573	0.5575368120283064	0.3470349340252773	0.21478527182817186	0.5064935051948053
HGNC:9824	0.4759262919429384	0.7363359750009534	0.5104895083916084	0.9480518584415586
HGNC:936	0.5070496699541339	0.6501713181667897	0.30569434455544464	0.9540458632367633
HGNC:18449	0.48807726342866437	0.6072785722301021	0.38661340929070936	0.8581417865134866
HGNC:5194	0.5049808171823753	0.5738372340130938	0.27072931658341665	0.9040958232767234
HGNC:80	0.5421204494857883	0.6615539878227004	0.4245754396603397	0.9170828336663338
HGNC:16267	0.5122880707283308	0.6962313300085254	0.43256744605394615	0.9440558552447553
HGNC:22195	0.49433513006712476	0.17694747804888358	0.10989018791208793	0.2577423061938062
HGNC:6762	0.5075785866565978	0.7197932681347955	0.5294705235764237	0.9170828336663338
HGNC:6513	0.4867501921807051	0.12373224088391768	0.022977118381618384	0.28971033176823185
HGNC:14975	0.537564540979175	0.7043891664324209	0.43856145084915094	0.9570428656343658
HGNC:24930	0.498446749305273	0.5116057649220931	0.23176828541458547	0.8531467825174827
HGNC:6752	0.508557053920492	0.1336075810473888	0.026973121578421584	0.3076923461538462
HGNC:20581	0.49453384005864137	0.3802236940196605	0.21978027582417586	0.5754245603396604
HGNC:5343	0.4910284455319654	0.7112865268319651	0.41258743006993015	0.9580418664335666
HGNC:28455	0.4957937339411986	0.40137966948135023	0.2997003397602398	0.5154845123876124
HGNC:443	0.4995804452277303	0.796727851383303	0.5754245603396604	0.9720278776223777
HGNC:1500	0.4043357112075704	0.06482986239883076	0.009990107992007993	0.1598402278721279
HGNC:1876	0.44074464815329595	0.3034425948083146	0.12187819750249752	0.5494505395604397
HGNC:11760	0.4368785053988647	0.8861218761118719	0.7192806754245755	0.9890108912087914
HGNC:28816	0.5382295186133393	0.07227042240114576	0.024975119980019986	0.1388612110889111
HGNC:9902	0.8696596584631283	0.9937090505801507	0.9980018984015986	0.9990008992007994
HGNC:7454	0.5037212064755259	0.7147144161818219	0.4955044964035965	0.936063848851149
HGNC:11060	0.43482806448832106	0.09851236008901024	0.003996103196803198	0.30069934055944064
HGNC:658	0.5064146157340015	0.7562777012512837	0.5214785171828172	0.9650348720279721
HGNC:17074	0.5315303623808009	0.2766819369814076	0.12387619910089913	0.47852148281718293
HGNC:23781	0.5099471586021915	0.09632460521616268	0.04795213836163838	0.1578422262737263
HGNC:9107	0.5051902935338443	0.6755004027576371	0.383616406893107	0.9490508592407594
HGNC:362	0.52873114554388	0.6879517845592557	0.42257743806193815	0.9430568544455545
HGNC:1667	0.5504983768995092	0.30828280294958155	0.1468532174825175	0.5184815147852149
HGNC:3720	0.5157549175447068	0.16970081144952792	0.08491516793206795	0.278721322977023
HGNC:29079	0.49286404093169756	0.07537227390986213	0.02997012397602398	0.13786221028971032
HGNC:9903	0.48856077513488383	0.4174457602392692	0.24175829340659347	0.6313686050949051
HGNC:1469	0.5132425418489005	0.862787976924534	0.6843156474525476	0.9860138888111889
HGNC:9948	0.8326764544366266	0.22274941617036276	0.13086920469530472	0.3346653677322678
HGNC:25956	0.8613486042854822	0.9945028068615387	0.9980018984015986	0.9990008992007994
HGNC:26511	0.5354960386665643	0.2819468390494224	0.1748252398601399	0.4105894284715286
HGNC:23085	0.8640347348632297	0.949454031844002	0.42157843726273736	0.9990008992007994
HGNC:7694	0.5378780525243078	0.799233638310296	0.572427557942058	0.9770228816183818
HGNC:8812	0.5040057541120403	0.9300997349978334	0.8111887489510491	0.9940058952047953
HGNC:20302	0.5066443375294811	0.5890308800797466	0.37262739810189816	0.8391607713286714
HGNC:19412	0.5009504891335229	0.8632929449968747	0.7172826738261739	0.9790208832167834
HGNC:46	0.49238621858526405	0.8570011713676318	0.6893106514485515	0.981018884815185
HGNC:10983	0.5307616632294017	0.1468509785763482	0.05794214635364637	0.268731314985015
HGNC:11351	0.5509679215649398	0.16563015704669998	0.07892116313686315	0.27972032377622386
HGNC:1728	0.5028624155797284	0.21963331185602578	0.11488519190809193	0.35164838131868137
HGNC:11027	0.5297580568714779	0.6518554256300197	0.43356644685314694	0.8921078136863138
HGNC:1440	0.5267438127233147	0.45379709178792255	0.28071932457542464	0.6603396282717283
HGNC:3086	0.4835259221264708	0.5280200302719624	0.25674330539460544	0.8511487809190811
HGNC:14368	0.500873012274072	0.08991520842117177	0.03596412877122878	0.1648352318681319
HGNC:9962	0.49750456707540597	0.4263726715548577	0.23276728621378626	0.667332633866134
HGNC:15687	0.5117673908510759	0.765776609546128	0.5154845123876124	0.9670328736263738
HGNC:26076	0.5237601719119795	0.12168378998464502	0.007992106393606395	0.3546453837162838
HGNC:5101	0.8842638413060313	0.9973590152572853	0.9980018984015986	0.9990008992007994
HGNC:9197	0.5070251869334641	0.4651163488298236	0.28671332937062943	0.6783216426573427
HGNC:16718	0.5157818790624623	0.676122359806247	0.37262739810189816	0.9540458632367633
HGNC:7013	0.5501160769804578	0.1492120162447146	0.09190817352647354	0.21778227422577426
HGNC:22207	0.42082857104518134	0.5005084389887924	0.3506493805194806	0.6713286370629371
HGNC:6600	0.48951965182928214	0.3985614670715019	0.24675329740259747	0.5794205635364637
HGNC:26151	0.529022308330749	0.7621970775089545	0.5534465427572428	0.9580418664335666
HGNC:10522	0.49670009559349976	0.4982411829670116	0.25474530379620386	0.7972027377622378
HGNC:28050	0.5285308225321339	0.22351016784782451	0.07792216233766236	0.4305694444555445
HGNC:25666	0.5455486620993251	0.8099368862499067	0.5534465427572428	0.9840158872127873
HGNC:19356	0.501126092916239	0.09554071501667977	0.017982114385614388	0.22477527982017986
HGNC:9392	0.5116021059092195	0.03435054354722616	0.011988109590409593	0.06693315354645356
HGNC:2348	0.55232644823288	0.26829040680577687	0.1848152478521479	0.363636390909091
HGNC:16831	0.5064833493161405	0.7787854845433568	0.5754245603396604	0.9580418664335666
HGNC:7218	0.48486812353683834	0.7793238658860271	0.5494505395604397	0.9670328736263738
HGNC:9204	0.5493772828744115	0.8523096776516893	0.677322641858142	0.9840158872127873
HGNC:1317	0.508553133022372	0.804553024059844	0.577422561938062	0.9780218824175826
HGNC:25770	0.5464114458056861	0.858788781689831	0.6863136490509492	0.9860138888111889
HGNC:2366	0.5053218274959689	0.37744151020467653	0.2627373101898102	0.5094905075924077
HGNC:45	0.5105885827016792	0.026336520675673044	0.004995103996003997	0.061938149550449566
HGNC:18541	0.4996725169623287	0.265901278485113	0.07892116313686315	0.5404595323676324
HGNC:23082	0.4957571975832408	0.24530981322002282	0.06793215434565436	0.5134865107892108
HGNC:11203	0.4967529974893922	0.29469699574533526	0.1928072542457543	0.4145854316683317
HGNC:17853	0.5527171211701554	0.6133883808329669	0.2927073341658342	0.941058852847153
HGNC:12986	0.5144020819956087	0.0824517322048537	0.05394614315684317	0.11588419270729274
HGNC:23386	0.49237452712923413	0.12555772190274037	0.022977118381618384	0.2947053357642358
HGNC:13599	0.5457490321529265	0.2942299243212284	0.19080925264735268	0.41658343326673336
